names,7/7/23
泰旸远见睿选,1.4024
恒天泰旸一期,--
陆宝嘉成科创证券投资,1.9645
中融-陆宝点金精选证券投资,2.616
申九积极进取1号,2.0612
华夏资本-拾贝投资2号,--
睿璞投资-睿洪一号,1.8382
泓澄投资,2.5438
易同优选,3.035
仁桥泽源1期,2.983
东方点赞,11.245
希瓦小牛1号,5.2274
聚鸣多策略,3.664
鸣石春天沪深300指数增强1号,0.904
外贸信托-金锝中证1000指数增强1号,1.1005
九坤日享沪深300指数增强1号,--
恒迈沪深300指数增强1号,1.296
浙江白鹭300指数增强二号,--
九章幻方中证500量化多策略1号,3.7526
天算指数增强1号,1.244
九坤日享中证500指数增强1号,--
赫富500指数增强一号,2.675
杉树500指数增强,1.309
量锐7号,3.908
无量全市场增强10号,1.373
佑维500增强一号,--
盛冠达中证500指数增强1号,1.872
龙旗红旭,2.821
因诺中证500指数增强1号,2.38
进化论复合策略一号,2.634
五岳归来量化贝塔,1.9982
衍复指增三号,1.4858
启林金选中证500指数增强1号,0.972
宽德金选中证500指数增强6号,2.404
致远中证500指数加强,1.2904
